Timestamp (s),Sensor Value
14-20-46-713,2.63
14-20-46-754,2.63
14-20-46-775,2.44
14-20-46-816,2.44
14-20-46-858,2.44
14-20-46-878,2.26
14-20-46-919,2.26
14-20-46-960,2.08
14-20-46-981,2.08
14-20-47-022,2.08
14-20-47-043,1.91
14-20-47-084,1.91
14-20-47-125,1.91
14-20-47-146,1.75
14-20-47-187,1.75
14-20-47-229,1.6
14-20-47-249,1.6
14-20-47-290,1.6
14-20-47-332,1.47
14-20-47-352,1.47
14-20-47-397,1.37
14-20-47-438,1.37
14-20-47-459,1.37
14-20-47-504,1.29
14-20-47-524,1.29
14-20-47-566,1.29
14-20-47-607,1.23
14-20-47-627,1.23
14-20-47-668,1.19
14-20-47-709,1.19
14-20-47-730,1.19
14-20-47-771,1.16
14-20-47-813,1.16
14-20-47-834,1.16
14-20-47-875,1.14
14-20-47-916,1.14
14-20-47-937,1.13
14-20-47-978,1.13
14-20-47-999,1.13
14-20-48-040,1.11
14-20-48-082,1.11
14-20-48-102,1.11
14-20-48-144,1.11
14-20-48-186,1.11
14-20-48-206,1.1
14-20-48-248,1.1
14-20-48-289,1.1
14-20-48-310,1.1
14-20-48-352,1.1
14-20-48-393,1.1
14-20-48-414,1.1
14-20-48-455,1.1
14-20-48-479,1.1
14-20-48-520,1.1
14-20-48-562,1.1
14-20-48-583,1.1
14-20-48-624,1.1
14-20-48-665,1.11
14-20-48-686,1.11
14-20-48-727,1.11
14-20-48-768,1.11
14-20-48-788,1.11
14-20-48-831,1.11
14-20-48-872,1.11
14-20-48-893,1.11
14-20-48-934,1.11
14-20-48-954,1.11
14-20-48-996,1.11
14-20-49-037,1.11
14-20-49-058,1.11
14-20-49-104,1.11
14-20-49-124,1.11
14-20-49-165,1.11
14-20-49-206,1.11
14-20-49-248,1.11
14-20-49-268,1.11
14-20-49-309,1.11
14-20-49-350,1.11
14-20-49-371,1.12
14-20-49-412,1.12
14-20-49-436,1.12
14-20-49-477,1.12
14-20-49-518,1.12
14-20-49-539,1.12
14-20-49-580,1.12
14-20-49-621,1.12
14-20-49-643,1.12
14-20-49-685,1.12
14-20-49-726,1.12
14-20-49-747,1.12
14-20-49-788,1.12
14-20-49-809,1.12
14-20-49-851,1.13
14-20-49-892,1.13
14-20-49-912,1.13
14-20-49-954,1.13
14-20-49-995,1.13
14-20-50-016,1.13
14-20-50-057,1.13
14-20-50-099,1.14
14-20-50-119,1.14
14-20-50-161,1.14
14-20-50-184,1.15
14-20-50-226,1.15
14-20-50-267,1.15
14-20-50-288,1.17
14-20-50-329,1.17
14-20-50-370,1.22
14-20-50-391,1.22
14-20-50-432,1.22
14-20-50-473,1.28
14-20-50-494,1.28
14-20-50-535,1.28
14-20-50-576,1.38
14-20-50-597,1.38
14-20-50-639,1.51
14-20-50-680,1.51
14-20-50-700,1.51
14-20-50-741,1.69
14-20-50-782,1.69
14-20-50-803,1.88
14-20-50-844,1.88
14-20-50-885,1.88
14-20-50-906,2.07
14-20-50-947,2.07
14-20-50-968,2.07
14-20-51-010,2.26
14-20-51-051,2.26
14-20-51-071,2.45
14-20-51-114,2.45
14-20-51-155,2.45
14-20-51-175,2.64
14-20-51-216,2.64
14-20-51-257,2.64
14-20-51-278,2.83
14-20-51-319,2.83
14-20-51-360,3.03
14-20-51-381,3.03
14-20-51-423,3.03
14-20-51-464,3.22
14-20-51-485,3.22
14-20-51-527,3.41
14-20-51-568,3.41
14-20-51-589,3.41
14-20-51-630,3.59
14-20-51-651,3.59
14-20-51-693,3.59
14-20-51-735,3.76
14-20-51-755,3.76
14-20-51-797,3.91
14-20-51-838,3.91
14-20-51-859,3.91
14-20-51-900,4.03
14-20-51-941,4.03
14-20-51-962,4.03
14-20-52-003,4.13
14-20-52-044,4.13
14-20-52-065,4.18
14-20-52-106,4.18
14-20-52-148,4.18
14-20-52-170,4.2
14-20-52-211,4.2
14-20-52-232,4.2
14-20-52-273,4.2
14-20-52-315,4.2
14-20-52-336,4.2
14-20-52-377,4.2
14-20-52-418,4.2
14-20-52-439,4.19
14-20-52-480,4.19
14-20-52-521,4.17
14-20-52-542,4.17
14-20-52-583,4.17
14-20-52-624,4.14
14-20-52-645,4.14
14-20-52-686,4.14
14-20-52-727,4.11
14-20-52-748,4.11
14-20-52-790,4.08
14-20-52-831,4.08
14-20-52-851,4.08
14-20-52-893,4.04
14-20-52-914,4.04
14-20-52-955,4.04
14-20-52-996,3.98
14-20-53-037,3.98
14-20-53-058,3.9
14-20-53-099,3.9
14-20-53-119,3.9
14-20-53-160,3.79
14-20-53-201,3.79
14-20-53-222,3.64
14-20-53-263,3.64
14-20-53-304,3.64
14-20-53-325,3.47
14-20-53-366,3.47
14-20-53-408,3.47
14-20-53-429,3.29
14-20-53-470,3.29
14-20-53-512,3.1
14-20-53-533,3.1
14-20-53-573,3.1
14-20-53-615,2.9
14-20-53-635,2.9
14-20-53-676,2.9
14-20-53-717,2.69
14-20-53-739,2.69
14-20-53-779,2.47
14-20-53-821,2.47
14-20-53-841,2.47
14-20-53-882,2.26
14-20-53-923,2.26
14-20-53-944,2.07
14-20-53-984,2.07
14-20-54-006,2.07
14-20-54-048,1.87
14-20-54-088,1.87
14-20-54-109,1.87
14-20-54-151,1.68
14-20-54-193,1.68
14-20-54-213,1.49
14-20-54-256,1.49
14-20-54-297,1.49
14-20-54-318,1.31
14-20-54-359,1.31
14-20-54-400,1.31
14-20-54-421,1.14
14-20-54-462,1.14
14-20-54-503,0.99
14-20-54-524,0.99
14-20-54-566,0.99
14-20-54-587,0.88
14-20-54-628,0.88
14-20-54-670,0.81
14-20-54-691,0.81
14-20-54-732,0.81
14-20-54-773,0.75
14-20-54-794,0.75
14-20-54-835,0.75
14-20-54-876,0.7
14-20-54-897,0.7
14-20-54-938,0.67
14-20-54-980,0.67
14-20-55-002,0.67
14-20-55-044,0.65
14-20-55-065,0.65
14-20-55-109,0.65
14-20-55-150,0.64
14-20-55-171,0.64
14-20-55-212,0.63
14-20-55-253,0.63
14-20-55-273,0.63
14-20-55-315,0.63
14-20-55-356,0.63
14-20-55-377,0.63
14-20-55-418,0.62
14-20-55-440,0.62
14-20-55-481,0.62
14-20-55-522,0.62
14-20-55-544,0.62
14-20-55-586,0.61
14-20-55-627,0.61
14-20-55-648,0.61
14-20-55-689,0.61
14-20-55-730,0.61
14-20-55-751,0.61
14-20-55-792,0.61
14-20-55-833,0.61
14-20-55-854,0.6
14-20-55-895,0.6
14-20-55-936,0.6
14-20-55-957,0.6
14-20-55-998,0.6
14-20-56-039,0.6
14-20-56-060,0.6
14-20-56-101,0.6
14-20-56-122,0.59
14-20-56-163,0.59
14-20-56-204,0.59
14-20-56-225,0.59
14-20-56-266,0.59
14-20-56-309,0.59
14-20-56-330,0.59
14-20-56-371,0.59
14-20-56-412,0.59
14-20-56-433,0.59
14-20-56-474,0.58
14-20-56-515,0.58
14-20-56-540,0.58
14-20-56-581,0.58
14-20-56-602,0.58
14-20-56-644,0.58
14-20-56-685,0.58
14-20-56-705,0.58
14-20-56-746,0.58
14-20-56-788,0.58
14-20-56-809,0.58
14-20-56-850,0.58
14-20-56-892,0.58
14-20-56-912,0.57
14-20-56-954,0.57
14-20-56-975,0.57
14-20-57-016,0.57
14-20-57-058,0.57
14-20-57-078,0.57
14-20-57-119,0.57
14-20-57-161,0.57
14-20-57-181,0.57
14-20-57-223,0.57
14-20-57-264,0.57
14-20-57-284,0.57
14-20-57-326,0.57
14-20-57-367,0.57
14-20-57-387,0.57
14-20-57-429,0.57
14-20-57-470,0.58
14-20-57-491,0.58
14-20-57-532,0.58
14-20-57-574,0.6
14-20-57-594,0.6
14-20-57-635,0.63
14-20-57-676,0.63
14-20-57-697,0.63
14-20-57-738,0.69
14-20-57-779,0.69
14-20-57-800,0.69
14-20-57-841,0.77
14-20-57-862,0.77
14-20-57-903,0.88
14-20-57-944,0.88
14-20-57-964,0.88
14-20-58-006,1.04
14-20-58-047,1.04
14-20-58-068,1.25
14-20-58-110,1.25
14-20-58-151,1.25
14-20-58-172,1.47
14-20-58-214,1.47
14-20-58-256,1.47
14-20-58-277,1.69
14-20-58-318,1.69
14-20-58-359,1.92
14-20-58-380,1.92
14-20-58-421,1.92
14-20-58-462,2.14
14-20-58-483,2.14
14-20-58-525,2.14
14-20-58-545,2.37
14-20-58-586,2.37
14-20-58-627,2.61
14-20-58-647,2.61
14-20-58-689,2.61
14-20-58-730,2.84
14-20-58-751,2.84
14-20-58-793,3.08
14-20-58-834,3.08
14-20-58-854,3.08
14-20-58-895,3.3
14-20-58-936,3.3
14-20-58-957,3.3
14-20-58-998,3.52
14-20-59-039,3.52
14-20-59-060,3.72
14-20-59-101,3.72
14-20-59-142,3.72
14-20-59-163,3.89
14-20-59-205,3.89
14-20-59-246,3.89
14-20-59-267,4.04
14-20-59-308,4.04
14-20-59-349,4.15
14-20-59-370,4.15
14-20-59-412,4.15
14-20-59-432,4.19
14-20-59-474,4.19
14-20-59-515,4.19
14-20-59-536,4.19
14-20-59-578,4.19
14-20-59-619,4.17
14-20-59-640,4.17
14-20-59-682,4.17
14-20-59-724,4.13
14-20-59-744,4.13
14-20-59-787,4.08
14-20-59-807,4.08
14-20-59-849,4.08
14-20-59-891,4.02
14-20-59-912,4.02
14-20-59-953,4.02
14-20-59-994,3.95
14-21-00-015,3.95
14-21-00-056,3.86
14-21-00-098,3.86
14-21-00-118,3.86
14-21-00-159,3.75
14-21-00-201,3.75
14-21-00-221,3.75
14-21-00-263,3.62
14-21-00-304,3.62
14-21-00-325,3.47
14-21-00-367,3.47
14-21-00-388,3.47
14-21-00-429,3.31
14-21-00-471,3.31
14-21-00-492,3.15
14-21-00-533,3.15
14-21-00-574,3.15
14-21-00-595,2.97
14-21-00-637,2.97
14-21-00-678,2.97
14-21-00-699,2.78
14-21-00-740,2.78
14-21-00-782,2.6
14-21-00-803,2.6
14-21-00-844,2.6
14-21-00-885,2.42
14-21-00-906,2.42
14-21-00-947,2.42
14-21-00-988,2.25
14-21-01-009,2.25
14-21-01-050,2.09
14-21-01-070,2.09
14-21-01-112,2.09
14-21-01-153,1.94
14-21-01-174,1.94
14-21-01-217,1.8
14-21-01-258,1.8
14-21-01-279,1.8
14-21-01-324,1.66
14-21-01-345,1.66
14-21-01-386,1.66
14-21-01-428,1.53
14-21-01-448,1.53
14-21-01-489,1.41
14-21-01-531,1.41
14-21-01-551,1.41
14-21-01-593,1.31
14-21-01-635,1.31
14-21-01-655,1.31
14-21-01-697,1.22
14-21-01-738,1.22
14-21-01-761,1.15
14-21-01-803,1.15
14-21-01-824,1.15
14-21-01-868,1.1
14-21-01-889,1.1
14-21-01-930,1.1
14-21-01-972,1.05
14-21-01-993,1.05
14-21-02-034,1.02
14-21-02-074,1.02
14-21-02-095,1.02
14-21-02-136,0.99
14-21-02-178,0.99
14-21-02-198,0.97
14-21-02-240,0.97
14-21-02-281,0.97
14-21-02-302,0.96
14-21-02-344,0.96
14-21-02-385,0.96
14-21-02-406,0.94
14-21-02-447,0.94
14-21-02-489,0.93
